csg_id	title	author	year	publisher	link
3663	Abhráin atá leagtha ar an Reachtabhrach	De hÍde, Dubhghlas	1903	Gill agus a mhac	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3663
437	Abhráin Diadha Chúige Connacht I	In eagar ag Dubhglas De hÍde	1906	Gill / Unwin	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=437
438	Abhráin Diadha Chúige Connacht II	In eagar ag Dubhglas De hÍde	1906	Gill / Unwin	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=438
457	Abhráin Ghaedhilge an Iarthair, an Chéad Chuid	Údair éagsúla, bailithe ag Mícheál Ó Tiománaidhe	1906	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=457
439	Abhráin Grádh Chúige Connacht(Love Songs of Connaught)	In eagar ag Dubhglas De hÍde	1893	Gill / Unwin	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=439
89	Acht um Bhunreacht Shaorstáit Éireann	Oireachtas, An t-	1922	Oifig Díolta Foillseacháin Rialtais	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=89
302	Aesop a Tháinig go hÉirinn 1-5	Aesop	1909	Irish Book Company, The	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=302
2752	Ag Séideadh agus ag Ithe	Ua Laoghaire, Peadar, An tAthair	1917	Brún & Nuallán	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2752
2731	Agallamh idir an Anam agus an Corp	Anaithnid	1736	(B.Á.C.: Ollsgoil na hÉireann, 1930)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2731
1944	Agallamh na bhFíoraon	Mac Cairteáin, Conchubhar	1704	(B.Á.C.: NUI, 1961-1963)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1944
2357	Agallamh na Seanórach I	Anaithnid	1680	(B.Á.C.: O.S., 1942)	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2357
