csg_id	title	author	year	publisher	link
3889	Abbán(Organ of the Uí Chinselaigh Historical Society)	Ní fios	1925	Uí Cinsealaigh Historical Society	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=3889
4796	Abhrán Grádha.	Féach ainm cleite	1895	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4796
5311	Abhrán Ó Óirghiallaibh.	Laoide, Seosamh	1899	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5311
5628	Abhrán ó Thír Chonaill. Sorcha Ní Bhréanainn.	Ní fios	1901	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5628
4882	Abhrán Oirghiallach mar aon le n-a chuid nótaidhe.	Laoide, Seosamh	1895	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4882
4994	Abhran Ultach.	Féach bailitheoir	1896	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4994
2964	Abrán agus Bealtaine, 1926	Údair éagsúla	1926	An Lóchrann	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2964
2916	Abrán, 1916	Údair éagsúla	1916	Muintir Raighill is Cuirc	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2916
2927	Abrán, 1917	Údair éagsúla	1917	An Lóchrann	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2927
2939	Abrán, 1918	Údair éagsúla	1918	An Lóchrann	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2939
2955	Abrán, 1920	Údair éagsúla	1920	An Lóchrann	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=2955
4524	Address of the Gaelic Union to the Irish People.	Ní fios	1888	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4524
1834	Adhbhar Machtnaimh.	Torna	1915	An Claidheamh Soluis	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=1834
5339	Ádhbhar Sagairt.	Féach ainm cleite	1899	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=5339
6433	Adhmholadh an Choileáin Uasail, .i. Cnag.	Mac Conmhara, Tadhg	1909	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=6433
4605	Adventures of Edmund O'Cleary (Continued).	Ó Neachtain, Seághan	1890	Connradh na Gaedhilge	http://corpas.ria.ie/index.php?fsg_function=5&fsg_id=4605
